id,title,motion,manual motion,govt/opp motion,motion party affiliation,utt1,utt2,utt3,utt4,utt5,manual speech,vote speech,party affiliation,name,rebellion %
1,Doctor Assisted Dying,That leave be given to bring in a Bill to enable a person who is suffering distress as a result of his terminal illness or incurable physical condition to obtain assistance from a doctor to end his life; and for connected purposes.,1,1,Lab,"I trust that the House will not feel that there is a lack of compassion on any side of the argument about such a dreadful and painful subject. Many of us have had experiences similar to that of my hon. Friend the Member for Bassetlaw, either directly in our own families or on the periphery of decisions to turn off life-sustaining machines. Therefore, no one should be seen as lacking compassion. I find it strange that, having explained the present position in law, my hon. Friend suggested that legislation was required. Even in the case that he cited, the House of Lords has made the position quite clear. If a doctor administers medicine to alleviate pain and suffering and that results in the shortening of a person's life—although that does not necessarily happen—it is not euthanasia or murder. Much depends on the intent of the person administering the medicine.","If one considers the argument from a religious point of view, different people will have different attitudes. I understand that a practising Christian will not convince an agnostic or an atheist, but what is the role of the state? How do we govern ourselves and our society? We have already outlawed capital punishment and said that it is wrong. It is now being proposed that the state should regulate a death industry in another way by passing such legislation. I immediately concede that the motive is entirely different, but we would be legislating on how people should die, and that is a dangerous thing to do. – Hon. Friends around me say that we have a right to die, but I am not sure whether I accept that argument, because rights normally assume duties. What is the duty incumbent on the right to die?","I accept that we shall all face death at one time or another, but have we the right to ask other people to help us die? Have people a duty to help others to die? If there is no such duty—and no one would argue that there is—has an individual the right to say, ""QUOTATION""? What is the position of a doctor—or anyone else such as an uncle, an aunt or a cousin—volunteering to help someone to die? That right would not relate to a person's status—it would be inherent. It is significant that the British Medical Association and all the medical societies say that it would be quite wrong for a doctor to seek to assist a person to die. I believe That is the real danger that we enter when people take upon themselves the right to decide for others whether they will live or die. There is a slippery slope and sadly, it concerns not only people who are terminally ill but people who are mentally and physically disabled, and even old people. It also concerns questions such as: who will benefit from auntie's will? Those are the real dangers in such legislation.","When we listen to my hon. Friend's case, we must put aside our religious and other standpoints and ask ourselves whether we really want the state to decide who will live and who will die—a death industry to decide. Do we want to start on the slippery slope that makes the right to live dependent on the often selfish ideas and indulgences of other individuals? Do we really think it better for people to be put in a position in which they may be under pressure to want to die?","I do not think that we want that sort of society. It is a denial of our human dignity and our ability to face problems and overcome them rather than taking what some would regard as a coward's way out and saying, ""Let's put an end to it all."" Instead, let us look at ways of ending people's fear.",0,0,Lab,Kevin McNamara,3.2
2,Local Government Finance (Scotland),"That the Local Government Finance (Scotland) Order 1998, dated 4th February 1998, a copy of which was laid before this House on 5th February, be approved.",1,1,Lab,"The Secretary State talks of the lack of fuss about the local government settlement. I might agree with him to some extent on sc aspects of the debate, but the Labour group on Perth Kinross council supported a motion put forward by Scottish National party administration express its dismay and disappointment at the new Lab Government's decision to continue with the for Conservative Government's spending targets for local authorities. Would that constitute a fuss in the right I Gentleman's eyes?","The right hon. Gentleman may not have heard fully what I said. The motion, which was before Perth and Kinross council, of which the wife of my hon. Friend the Member for Angus is not a member, was supported by the Labour group on the council, expressing its concern at the Labour Government's commitment to the previous Administration's spending targets, a point which has concerned many hon. Members on both sides of the House.",North Tayside.,The Secretary of State's geography is terrible.,"Would not the £40 million gap in the assumptions be tackled if the Government allocated £40 million to local authorities? They have the power and, as we have heard in the past few days, the money, to do it.",0,0,SNP,John Swinney,0.4
2,Local Government Finance (Scotland),"That the Local Government Finance (Scotland) Order 1998, dated 4th February 1998, a copy of which was laid before this House on 5th February, be approved.",1,1,Lab,"May I assure the right hon. Gentleman that he is probably alone in the House in thinking that it is sad that these matters will no longer be debated here? I am delighted that, in two years' time, they will be debated in Scotland.","Will the hon. Gentleman clarify what he meant by his disgraceful smear against the local authority in Dundee? Dundee has a tremendous record of fighting Tory cuts, which is more than can be said for Angus. Dundee has direct labour organisations, with workers working directly for the council, whereas Angus local authority privatised the whole lot.",,,,1,1,Lab,John McAllion,4.5
2,Local Government Finance (Scotland),"That the Local Government Finance (Scotland) Order 1998, dated 4th February 1998, a copy of which was laid before this House on 5th February, be approved.",1,1,Lab,"Is the hon. Gentleman aware that, ever since the beginning of the urban aid programme, some projects have lost funding? It has never been the case that every urban aid project is mainlined by local authorities after losing its urban aid funding. It was a recurrent problem throughout the years of the Conservative Government. Urban aid was intended to provide the opportunity for experimentation which would then allow local authorities to determine whether to make projects mainline or to take the lessons and spread them across the service.","I rise as one who, in the past, has not been a great enthusiast for links with the Liberals having believed that they have led us down many false roads. However, I was greatly heartened by the speech of the hon. Member for Edinburgh, West and his defence of public expenditure and public services. It may well be that, in the Scottish Parliament, the Liberals will find themselves much closer than they expect to the Co-operative party block there.","It would be inappropriate to allow the debate to pass without making it clear that many of us believe that the state of rented housing in Scotland is a disgrace. Far too many of our people live in accommodation that is unsatisfactory, unsanitary and not waterproof or windproof. Concern about this matter is not restricted to Opposition Members; at our surgeries, many Labour Members are inundated by the results of years of underspending. What makes that particularly unpalatable is the way in which, at present, because of the possibility of military action against Iraq, we see all the hi-tech wizardry displayed, while our hi-tech and scientifically advanced society is apparently unable to provide windproof and watertight homes for substantial numbers of our people. Surely there is a mis-spend somewhere?","Why are the problems of so many of our people, who have to live in rented housing, ignored? I believe that it is because few opinion-formers live in rented housing and few of those who live as tenants ever appear in focus groups. The needs of that minority are under-represented in the political dialogue of this country. That is inappropriate and it is up to those of us who represent such people to make sure that their voices are heard on occasions like this.","Today's debate is the first of this sort under the Labour Government and the lack of adverse comment from COSLA and local authorities has been remarked upon. We should not mistake silence for acquiescence—it arises from the gut loyalty felt by Labour local authorities to a Labour Government, after years of Tory Government. I hope that my right hon. and hon. Friends on the Treasury Bench will not abuse that loyalty and will recognise that something has to be delivered relatively soon to local authorities. Loyalty has to be rewarded by jam tomorrow and the sooner we can make commitments about jam tomorrow, the happier I, the vast majority of Labour Members and our supporters, will be.",0,1,Lab,Ian Davidson,3.1
2,Local Government Finance (Scotland),"That the Local Government Finance (Scotland) Order 1998, dated 4th February 1998, a copy of which was laid before this House on 5th February, be approved.",1,1,Lab,"The hon. Gentleman will notice that the Children (Scotland) Act was enacted in 1995; it has been in operation for some time. I recollect that the Conservative Government would not make available any extra money for local authorities. The hon. Gentleman is wrong to say that no money has been allocated this year for the implementation of measures under the Children (Scotland) Act, although I accept that the full £11 million has not been made available—I am not sure what the exact figure is. As the Minister said, this year, unlike in previous years, some money has been made available.",I thank the hon. Gentleman for his generosity in giving way again. He is doing what the Scottish National party always does—it pretends that there is no difference between the Conservative and Labour parties. He heard my right hon. Friend the Secretary of State make it clear that things will be very different in the near future for local authority services and for housing in particular. He cannot pretend that the Labour Government have the same attitude as the previous Government—that is quite dishonest.,,,,1,1,Lab,Maria Fyfe,2.3
3,Orders of the Day — Income Tax,"That an humble Address be presented to Her Majesty, praying that the Personal Equity Plan (Amendment) Regulations 1998 (S.I., 1998, No. 1869), dated 31st July 1998, a copy of which was laid before this House on 31st July, be annulled.",0,0,Con,"Does my hon. Friend agree that, whereas last week we were treated to Peter Pan economics, this is a case of Tinkerbell targeting?","I follow on from what my hon. Friend the Member for East Worthing and Shoreham has said by observing how clear it is that the Government's decision to change the savings schemes was simply an attempt to rebrand a Conservative success story. Only someone who lived in wonderland would believe that changing the name from ""QUOTATION"" to ""QUOTATION"" would increase the number of people who want to subscribe to savings schemes. The almost 8 million people who had either a PEP or a TESSA before the Labour party came to power had saved a total of more than £60 billion between them—a sum greater than the pension savings in the entire German economy. Such an achievement in the 10 years since PEPs were launched by the Conservative Chancellor of the day is a measure of the success of the previous Government in targeting and promoting genuine long-term savings. The Minister complained that under the Conservative scheme there was a five-year lock-in. However, as everyone knows, if one invests in the share market there may be ups and downs in the short term, and only if one is prepared to invest in the longer term do the benefits show through.","That is correct, but PEPs were not.","There was a penalty for withdrawing from PEPs in the early years, as the hon. Lady well knows. The point is that long-term incentives coupled with a tax incentive are part of the winning formula that the previous Government developed. That follows on from the principle of pension savings. Those have a much longer lock-in period, and let us consider how successful they have been. Pension savings, with the tax incentives that the Conservative Government promoted, have given us in this country the best savings rate for our retirement of almost any country in the world. Our pension savings are greater, cumulatively, than those of the rest of the European Union put together. Long-term savings with long-term tax breaks and a long-term lock-in are a successful formula for savings in our country. Does the Economic Secretary believe that the level of national savings matters? There are left-wing economists who maintain that in the new global economy, the level of savings in one individual country is not especially significant. Perhaps the hon. Lady has that sophisticated point of view, and does not worry about the fact that the savings level in this country has declined so disastrously since her party came to power. Does the Economic Secretary care about that, and what, in practical terms, will she do? The evidence from my hon. Friend the Member for Bognor Regis and Littlehampton is that ISAs are not part of the solution to the fall in the savings rate that has occurred since Labour came to power.","My hon. Friend makes a valid point, which I was about to make myself. The implication is that, without the stout opposition of Conservative Members of Parliament, the Government would have got away with a mis-selling that would have put any other mis-selling in the shade. The Government promised in their manifesto that they would not jeopardise PEPs and TESSAs; yet, until we piled on the pressure, that is exactly what they proposed doing. Many other hon. Members wish to speak, and I wish them to have full force. I therefore conclude by saying that a tax break was involved in PEPs and TESSAs, but it was available to those who were prepared to take responsibility for their own lives. In changing to the ISA, there is a suspicion–as pinpointed by The Economist–that, by putting a cap on new savings, far from trying to appeal to those who do not have the money to save anyway, the Government are attempting to attack the middle classes and their attempts to look after their own lives and to provide for their own futures.",1,1,Con,Nick St. Aubyn,0.6
3,Orders of the Day — Income Tax,"That an humble Address be presented to Her Majesty, praying that the Personal Equity Plan (Amendment) Regulations 1998 (S.I., 1998, No. 1869), dated 31st July 1998, a copy of which was laid before this House on 31st July, be annulled.",0,0,Con,"Does my hon. Friend agree that part of the disaster of the Government's plans has been that, when they were announced, they included the particularly unattractive ceiling of £50,000, and it was only because the feelings of so many constituents of all Members of Parliament were that that was a completely disastrous policy that the Government were forced to change their mind? Does he agree that that completely undermined the City's faith in what the Government were originally setting out to do, which was to change PEPs and TESSAs?",,,,,1,1,Con,Nick Hawkins,0.1
3,Orders of the Day — Income Tax,"That an humble Address be presented to Her Majesty, praying that the Personal Equity Plan (Amendment) Regulations 1998 (S.I., 1998, No. 1869), dated 31st July 1998, a copy of which was laid before this House on 31st July, be annulled.",0,0,Con,"First, I must declare an interest as the chairman of an investment management business that offers PEPs. When the Government announced their proposed changes, they made it clear that their key objective was to offer something that would be attractive to the less well off–to lower income groups. The Economic Secretary to the Treasury also argued that the new arrangements were not motivated by the desire to save the tax cost of the scheme and that they would be redistributive. However, the Green Paper made it abundantly clear that one of the key objectives was to stop the growing tax-loss cost of the old PEPs and TESSAS. Also, the new arrangements will be tax disadvantageous to those paying no income tax or the lowest rate after the loss of the 10 per cent. advance corporation tax refund in 2004.","I cannot understand how the new scheme will be the slightest bit attractive to those in low-income groups. The Economic Secretary argued that many people will use the cash ISA and that the old cash TESSA was unattractive because of the lock-in. We all know that it would not have been a problem to abolish the lock-in on the TESSA. That is a false argument and, if it is the sole argument on which the Government base their case, it is a pretty poor case. The attitude of the industry has been illustrated in tonight's speeches. In the main, it is, ""QUOTATION"". However, without party political prejudice, the industry in general regards ISAs as an inferior product to the old PEPs and TESSAs. The ISA has one advantage, which is the wider flexibility of equity investment. The rules on PEP equity investment–and for that matter on bond investment–had little logic.","I want to highlight some mechanical problems. The principal stupidity is that two different systems will run in parallel, with all the costs and problems that that will involve. Even the advantage of flexibility will be undone by the need for parallel vehicles to meet the PEP rules and the ISA rules. Client reporting will differ for ISA clients and PEP clients. Reporting to the Inland Revenue will also change, and that will add extra administration costs. The mini and maxi schemes are quite incomprehensible to most of the industry. How on earth the Government can believe that someone passing through a supermarket will understand them, I simply cannot imagine. As has been said, virtually all supermarkets have made it clear that they will not offer ISAs, although the Government's key message was that supermarkets would sell ISAs.","I am greatly relieved that the Government have climbed down on their half-baked proposals to CAT-mark indexed schemes. That would have sent investors a most unwise message. As the pension trustees of the House of Commons pointed out to me recently, indexed investment is likely to perform less well in bad markets, although it may outperform in good markets. There are arguments both ways, but to favour one over the other would have been foolish. I broadly welcome CAT-marking principles, if they merely show that a product is reasonably and fairly priced, and properly run. I have written to the Economic Secretary with a question, but I have received no reply in a month. The proposals for cash ISAs seem most peculiar in that they give deliberate advantage to large, cartelised banks and building societies. America has been successful in developing money funds to compete with banks and to improve people's returns. The CAT marks will apply to money ISAs in relation to the rates of interest that they will pay, not the charges. That means that only a bank or a building society will be able to provide a CAT-marked cash ISA. The Association of Unit Trusts and Investment Funds has confirmed that money funds–no matter how cheap and efficient—cannot qualify for CAT marking. Will the Economic Secretary clarify that point? If it is correct, it seems wrong in principle. A major objective should be competition with the banks, which will drive down their charges and drive up their competitiveness–","The change does not meet the Government's original targets. The Opposition want more and more people to own capital, not fewer and fewer. I should like to see a real fiscal incentive for those who have lower incomes. Perhaps some subsidisation would be appropriate if the Government mean what they said about increasing wide ownership of capital.",1,1,Con,Howard Flight,0.3
4,Orders of the Day – Police,"That the Police Grant Report (England and Wales) 1999–2000 (HC 179), which was laid before this House on 1st February, be approved.",1,1,Lab,"My hon. Friend mentions Staffordshire and the Birmingham northern relief road. The police authority faces significant extra expense from having to police the protests that are occurring there, but the 1.7 per cent. increase in Staffordshire police authority funding is well below the national average. I hope that my hon. Friend will give the most sympathetic hearing possible to representations made in respect of the special extra costs that fall on authorities such as Staffordshire, which already suffer from a lower than average increase in the police grant.",,,,,0,1,Lab,George Stevenson,1.2
4,Orders of the Day – Police,"That the Police Grant Report (England and Wales) 1999–2000 (HC 179), which was laid before this House on 1st February, be approved.",1,1,Lab,"My right hon. Friend probably heard the intervention on the Minister of the hon. Member for Hayes and Harlington, in which he described a 15.7 per cent. reduction in police numbers over three years–it is, in fact, over two years. He omitted to say that the Hillingdon division is now facing a reduction of 11 front-line officers. If the people of Hillingdon were told that at the election, the expression that Uxbridge or Hillingdon deserves better would have rang hollow.",,,,,0,0,Con,John Randall,1.3
